YEAR ;SEMESTRE;DEP_NAC;COD_DEP_NAC;CIU_NAC;COD_CIU_NAC;LON_CIU_NAC;LAT_CIU_NAC;EDAD;SEXO;ESTRATO;DISCAPACIDAD;TIPO_DISC;MOD_INS;PTOTAL;ADMITIDO;ADM_SEDE_NOMBRE;AREAC_SNIES;NIVEL
2016;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,8;Hombres;2;No;;Regular;397,5324;No;;;Pregrado
2019;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;16;Hombres;3;No;;Regular;368,5858;No;;;Pregrado
2015;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,51;Hombres;2;No;;Regular;513,2642;No;;;Pregrado
2014;1;CUNDINAMARCA;25;SAN JUAN DE RIOSECO;25662;-74,62165591;4,847253153;16,44;Mujeres;3;No;;Regular;371,1438;No;;;Pregrado
2020;2;BOYACÁ;15;SOGAMOSO;15759;-72,9232369;5,724862053;16;Hombres;3;No;;Regular;757,8237;No;;;Pregrado
2020;2;CALDAS;17;PÁCORA;17513;-75,46000891;5,528686896;17;Mujeres;2;No;;Regular;399,2308;No;;;Pregrado
2016;1;NARIÑO;52;SAN ANDRÉS DE TUMACO;52835;-78,78940097;1,750299723;18,85;Mujeres;1;No;;Especial;361,5173;No;;;Pregrado
2019;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;19;Mujeres;3;No;;Regular;579,203;No;;;Pregrado
2010;2;CUNDINAMARCA;25;FUSAGASUGÁ;25290;-74,36636797;4,337748142;17,43;Hombres;1;No;;Regular;682,7944;No;;;Pregrado
2016;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;22,12;Mujeres;3;No;;Regular;310,3348;No;;;Pregrado
2019;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;15;Mujeres;3;No;;Regular;481,3899;No;;;Pregrado
2019;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;16;Mujeres;3;No;;Regular;374,7472;No;;;Pregrado
2019;1;ANTIOQUIA;5;BELLO;5088;-75,55444758;6,333785562;17;Mujeres;2;No;;Regular;498,1178;No;;;Pregrado
2010;1;AMAZONAS;91;LETICIA;91001;-69,94067983;-4,21202317;20,59;Hombres;2;No;;Especial;571,28;Sí;Amazonía;Ingeniería, arquitectura, urbanismo y afines;Pregrado
2011;1;BOGOTÁ, D. C.;11;Bogotá D.C.;11001;-74,11391872;4,62457505;16,08;Mujeres;3;No;;Regular;358,5499;No;;;Pregrado
2014;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;29;Hombres;3;No;;Regular;1,35;No;;Ciencias de la salud;Especialidades médicas
2017;1;ANTIOQUIA;5;MEDELLÍN;5001;-75,57705563;6,24894081;20,04;Hombres;3;No;;Regular;546,7572;No;;;Pregrado
2020;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;20;Hombres;2;No;;Regular;535,8782;No;;;Pregrado
2018;2;TOLIMA;73;IBAGUÉ;73001;-75,19635015;4,439630726;17;Mujeres;2;No;;Regular;537,2186;No;;;Pregrado
2012;1;HUILA;41;BARAYA;41078;-75,05429067;3,153273692;16,83;Hombres;2;No;;Regular;355,4729;No;;;Pregrado
2018;1;ANTIOQUIA;5;MEDELLÍN;5001;-75,57705563;6,24894081;17,08;Hombres;2;No;;Regular;652,3327;Sí;Medellín;Ingeniería, arquitectura, urbanismo y afines;Pregrado
2014;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,28;Mujeres;2;No;;Regular;341,4249;No;;;Pregrado
2009;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;16,51;Mujeres;2;No;;Regular;461,36;No;;;Pregrado
2013;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;16,89;Mujeres;2;No;;Regular;384,0881;No;;;Pregrado
2015;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,56;Mujeres;2;No;;Regular;495,979;No;;;Pregrado
2019;1;SANTANDER;68;BUCARAMANGA;68001;-73,13232523;7,122787285;26;Mujeres;2;No;;Especial;;No;;;Pregrado
2012;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,25;Mujeres;2;No;;Regular;514,2663;No;;;Pregrado
2015;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,15;Hombres;3;No;;Regular;542,9873;No;;;Pregrado
2016;2;NARIÑO;52;PASTO;52001;-77,27826745;1,212808597;20,44;Mujeres;2;No;;Regular;494,499;No;;;Pregrado
2016;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;15,98;Mujeres;4;No;;Regular;688,9192;No;;;Pregrado
2010;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,99;Hombres;2;No;;Regular;491,54;No;;;Pregrado
2011;2;NARIÑO;52;IPIALES;52356;-77,64609566;0,829031719;21,27;Mujeres;3;No;;Especial;456,0424;Sí;Manizales;Economía, administración, contaduría y afines;Pregrado
2018;2;CALDAS;17;MANIZALES;17001;-75,49041506;5,057050564;18;Hombres;3;No;;Regular;465,9484;No;;;Pregrado
2019;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;16;Mujeres;3;No;;Regular;471,937;No;;;Pregrado
2018;2;BOYACÁ;15;DUITAMA;15238;-73,03026863;5,819369141;18;Mujeres;3;No;;Regular;591,421;No;;;Pregrado
2015;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;20,23;Mujeres;2;No;;Regular;556,1395;No;;;Pregrado
2016;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;16,73;Hombres;2;No;;Regular;469,5164;No;;;Pregrado
2018;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;24;Hombres;2;No;;Regular;3,73;Sí;Bogotá;Ingeniería, arquitectura, urbanismo y afines;Maestría
2013;2;ANTIOQUIA;5;MEDELLÍN;5001;-75,57705563;6,24894081;17,77;Hombres;1;No;;Regular;529,5308;No;;;Pregrado
2011;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;16,86;Hombres;2;No;;Regular;419,2815;No;;;Pregrado
2018;2;ANTIOQUIA;5;EL BAGRE;5250;-74,70879343;7,82385105;16;Mujeres;1;No;;Especial;460,0695;Sí;Medellín;Ingeniería, arquitectura, urbanismo y afines;Pregrado
2018;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,69;Mujeres;1;No;;Regular;502,4818;No;;;Pregrado
2009;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;4,62457505;4,62457505;32;Mujeres;3;No;;Regular;4,04;Sí;Bogotá;Ciencias sociales y humanas;Maestría
2012;1;MAGDALENA;47;EL BANCO;47245;-73,97939172;8,998318274;19,98;Hombres;2;No;;Regular;465,4048;No;;;Pregrado
2015;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;19,58;Mujeres;2;No;;Regular;353,4584;No;;;Pregrado
2009;2;BOYACÁ;15;SAN JOSÉ DE PARE;15664;-73,54344909;6,019610489;17,18;Mujeres;1;No;;Regular;433,48;No;;;Pregrado
2018;1;META;50;VILLAVICENCIO;50001;-73,6268779;4,12295758;18,06;Mujeres;5;No;;Regular;516,1763;No;;;Pregrado
2021;1;NORTE DE SANTANDER;54;CÚCUTA;54001;-72,50559097;7,905267117;27;Mujeres;3;No;;Regular;3,59;Sí;Bogotá;Ciencias de la salud;Especialización
2015;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;16,81;Mujeres;2;No;;Regular;544,3787;No;;;Pregrado
2011;2;META;50;FUENTE DE ORO;50287;-73,61998898;3,461515389;29;Hombres;4;No;;Regular;4,03;Sí;Bogotá;Ciencias sociales y humanas;Especialización
2009;1;CHOCÓ;27;EL CARMEN DE ATRATO;27245;-76,14196657;5,900665673;18,39;Hombres;1;No;;Regular;423,23;No;;;Pregrado
2012;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;26;Mujeres;3;No;;Regular;1,69;No;;Ciencias de la salud;Especialidades médicas
2018;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;28,8;Hombres;3;No;;Regular;550,9622;No;;;Pregrado
2020;2;SANTANDER;68;BUCARAMANGA;68001;-73,13232523;7,122787285;27;Hombres;3;No;;Regular;4,62;Sí;Bogotá;Matemáticas y ciencias naturales;Maestría
2020;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;18;Mujeres;2;No;;Regular;477,0646;No;;;Pregrado
2015;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,16;Mujeres;4;No;;Regular;481,2808;No;;;Pregrado
2013;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;16,17;Mujeres;2;No;;Regular;514,21;No;;;Pregrado
2019;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;21;Mujeres;2;No;;Regular;521,3814;No;;;Pregrado
2009;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,07;Mujeres;2;No;;Regular;501,65;No;;;Pregrado
2019;1;ATLÁNTICO;8;BARRANQUILLA;8001;-74,81878809;10,97964939;31;Hombres;4;No;;Regular;3,14;No;;Ciencias de la salud;Especialidades médicas
2012;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;16,76;Hombres;4;No;;Regular;611,5558;No;;;Pregrado
2010;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;18,55;Mujeres;2;No;;Regular;591,9121;No;;;Pregrado
2017;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,83;Mujeres;3;No;;Regular;585,4498;No;;;Pregrado
2018;1;ARAUCA;81;ARAUQUITA;81065;-71,42763959;7,029313653;16,52;Hombres;1;No;;Especial;;No;;;Pregrado
2012;2;RISARALDA;66;PEREIRA;66001;-75,71550992;4,808887732;22,28;Hombres;3;No;;Regular;676,1267;Sí;Bogotá;Ciencias sociales y humanas;Pregrado
2009;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;18,78;Hombres;3;No;;Regular;515,79;No;;;Pregrado
2018;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;16,77;Mujeres;3;No;;Regular;530,5128;No;;;Pregrado
2010;1;BOYACÁ;15;GARAGOA;15299;-73,36476697;5,082280849;16,8;Mujeres;1;No;;Regular;432,6;No;;;Pregrado
2019;1;NARIÑO;52;IPIALES;52356;-77,64609566;0,829031719;19;Mujeres;1;No;;Regular;478,4669;No;;;Pregrado
2015;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,39;Mujeres;2;No;;Regular;426,8327;No;;;Pregrado
2009;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;18,74;Mujeres;3;No;;Regular;452,94;No;;;Pregrado
2010;2;CAUCA;19;POPAYÁN;19001;-76,62478764;2,448239605;20,31;Mujeres;2;No;;Regular;512,9502;No;;;Pregrado
2012;1;SANTANDER;68;BUCARAMANGA;68001;-73,13232523;7,122787285;33;Hombres;4;No;;Regular;1,38;No;;Ciencias de la salud;Especialidades médicas
2013;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;19,55;Mujeres;2;No;;Regular;371,33;No;;;Pregrado
2013;1;ANTIOQUIA;5;MEDELLÍN;5001;-75,57705563;6,24894081;16,36;Hombres;2;No;;Regular;394,77;No;;;Pregrado
2017;2;PUTUMAYO;86;PUERTO CAICEDO;86569;-76,60451782;0,685064179;22,06;Mujeres;1;No;;Regular;396,07;No;;;Pregrado
2013;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;20,02;Mujeres;3;No;;Regular;633,1357;Sí;Bogotá;Bellas artes;Pregrado
2008;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;18,6;Mujeres;3;No;;Regular;;No;;;Pregrado
2017;2;BOYACÁ;15;TUNJA;15001;-73,35436382;5,539370636;16,35;Hombres;3;No;;Regular;530,97;No;;;Pregrado
2008;1;TOLIMA;73;GUAMO;73319;-74,97149505;4,029955464;17,21;Mujeres;1;No;;Regular;;No;;;Pregrado
2009;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;19,76;Mujeres;2;No;;Regular;524,32;No;;;Pregrado
2008;1;TOLIMA;73;COYAIMA;73217;-75,19620778;3,798723691;19,38;Mujeres;2;No;;Regular;;No;;;Pregrado
2010;1;BOYACÁ;15;SOATÁ;15753;-72,6833174;6,333654186;32;Hombres;4;No;;Regular;3,79;Sí;Manizales;Economía, administración, contaduría y afines;Especialización
2010;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;41;Mujeres;3;No;;Regular;;No;;Ciencias sociales y humanas;Maestría
2009;1;HUILA;41;SANTA MARÍA;41676;-75,58679897;2,938712204;17,26;Hombres;;No;;Especial;468,38;No;;;Pregrado
2016;1;CALDAS;17;MANIZALES;17001;-75,49041506;5,057050564;16,74;Hombres;3;No;;Regular;388,5046;No;;;Pregrado
2016;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;16,68;Hombres;2;No;;Regular;434,7143;No;;;Pregrado
2014;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;24,11;Hombres;2;No;;Regular;610,295;No;;;Pregrado
2011;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,3;Hombres;2;No;;Regular;521,9354;No;;;Pregrado
2011;2;CESAR;20;VALLEDUPAR;20001;-73,25864834;10,46151843;29,71;Hombres;3;No;;Regular;501,9196;No;;;Pregrado
2014;2;ANTIOQUIA;5;MEDELLÍN;5001;-75,57705563;6,24894081;18,49;Mujeres;3;No;;Regular;573,369;Sí;Medellín;Ciencias sociales y humanas;Pregrado
2015;1;CUNDINAMARCA;25;MADRID;25430;-74,26675545;4,732845203;18,12;Hombres;2;No;;Regular;512,6608;No;;;Pregrado
2019;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;20;Hombres;2;No;;Especial;395,6485;No;;;Pregrado
2021;1;SUCRE;70;SAN LUIS DE SINCÉ;70742;-75,14667204;9,244482443;21;Mujeres;2;No;;Regular;572,2712;No;;;Pregrado
2010;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;23,43;Mujeres;2;No;;Regular;559,1483;No;;;Pregrado
2016;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;18,2;Mujeres;2;No;;Regular;472,0936;No;;;Pregrado
2014;1;TOLIMA;73;COYAIMA;73217;-75,19620778;3,798723691;16,66;Hombres;;No;;Especial;;No;;;Pregrado
2019;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;16;Hombres;1;No;;Regular;558,9555;No;;;Pregrado
2018;2;ANTIOQUIA;5;COPACABANA;5212;-75,50242268;6,358227531;17;Hombres;2;No;;Regular;593,6967;Sí;Medellín;Ingeniería, arquitectura, urbanismo y afines;Pregrado
2016;1;ANTIOQUIA;5;ITAGÜÍ;5360;-75,62972195;6,168158303;16,93;Mujeres;4;No;;Regular;496,0873;No;;;Pregrado
2014;1;NARIÑO;52;IPIALES;52356;-77,64609566;0,829031719;17,74;Mujeres;2;No;;Regular;477,5497;No;;;Pregrado
2013;2;SANTANDER;68;BUCARAMANGA;68001;-73,13232523;7,122787285;25;Hombres;3;No;;Regular;545,6065;No;;;Pregrado
2011;1;BOGOTÁ, D. C.;11;Bogotá D.C.;11001;-74,11391872;4,62457505;17,19;Hombres;2;No;;Regular;529,0225;No;;;Pregrado
2013;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;19,2;Mujeres;3;No;;Regular;482,0715;No;;;Pregrado
2014;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;22,6;Hombres;3;No;;Regular;573,9338;No;;;Pregrado
2013;1;BOYACÁ;15;SUTATENZA;15778;-73,45204672;5,023242631;16,78;Hombres;3;No;;Regular;529,93;No;;;Pregrado
2019;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;20;Mujeres;3;No;;Regular;507,3293;No;;;Pregrado
2012;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;18,01;Hombres;2;No;;Regular;523,0525;No;;;Pregrado
2014;1;;;;;;;21,38;Mujeres;;No;;Regular;552,6549;No;;;Pregrado
2013;2;HUILA;41;GARZÓN;41298;-75,62673823;2,195652802;18,29;Hombres;1;No;;Regular;486,6653;No;;;Pregrado
2018;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;16,42;Hombres;1;No;;Especial;256,7168;No;;;Pregrado
2016;2;CALDAS;17;MANIZALES;17001;-75,49041506;5,057050564;17,37;Hombres;3;No;;Regular;440,9924;No;;;Pregrado
2017;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;16,43;Hombres;2;No;;Regular;491;No;;;Pregrado
2011;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;21,92;Hombres;3;No;;Regular;625,9181;No;;;Pregrado
2020;1;MAGDALENA;47;PIVIJAY;47551;-74,6153957;10,46134401;25;Hombres;2;No;;Regular;360,2275;No;;;Pregrado
2013;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;19,23;Mujeres;2;No;;Regular;656,5005;Sí;Bogotá;Ciencias sociales y humanas;Pregrado
2017;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;18,69;Hombres;2;No;;Especial;541,26;No;;;Pregrado
2010;1;CUNDINAMARCA;25;TENJO;25799;-74,14345182;4,871715773;27;Mujeres;4;No;;Regular;3,3;Sí;Bogotá;Matemáticas y ciencias naturales;Especialización
2017;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;16,55;Mujeres;2;No;;Regular;336,903;No;;;Pregrado
2009;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;23,67;Mujeres;2;No;;Regular;397,77;No;;;Pregrado
2010;1;ANTIOQUIA;5;MEDELLÍN;5001;-75,57705563;6,24894081;17,07;Mujeres;3;No;;Regular;664,71;Sí;Medellín;Ingeniería, arquitectura, urbanismo y afines;Pregrado
2010;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;18,13;Hombres;3;No;;Regular;646,13;Sí;Bogotá;Economía, administración, contaduría y afines;Pregrado
2019;1;SANTANDER;68;FLORIDABLANCA;68276;-73,09912164;7,07732172;16;Hombres;3;No;;Regular;610,2832;No;;;Pregrado
2018;2;HUILA;41;NEIVA;41001;-75,27794587;2,935545593;17;Mujeres;4;No;;Regular;500,374;No;;;Pregrado
2015;1;CUNDINAMARCA;25;FÓMEQUE;25279;-73,89273351;4,4848956;17,41;Mujeres;2;No;;Regular;510,834;No;;;Pregrado
2020;2;NARIÑO;52;SAN ANDRÉS DE TUMACO;52835;-78,78940097;1,750299723;17;Mujeres;1;No;;Especial;403,077;No;;;Pregrado
2008;1;ANTIOQUIA;5;MEDELLÍN;5001;-75,57705563;6,24894081;17,32;Hombres;1;No;;Regular;;No;;;Pregrado
2014;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;16,45;Mujeres;1;No;;Regular;636,5128;No;;;Pregrado
2012;2;CALDAS;17;MANIZALES;17001;-75,49041506;5,057050564;18,9;Mujeres;3;No;;Regular;364,6734;No;;;Pregrado
2012;1;NARIÑO;52;CONSACÁ;52207;-77,46571841;1,207194331;18,78;Mujeres;3;No;;Regular;350,1408;No;;;Pregrado
2011;1;BOGOTÁ, D. C.;11;Bogotá D.C.;11001;-74,11391872;4,62457505;18,6;Hombres;2;No;;Regular;569,4193;No;;;Pregrado
2011;1;BOGOTÁ, D. C.;11;Bogotá D.C.;11001;-74,11391872;4,62457505;17,28;Hombres;2;No;;Regular;462,8173;No;;;Pregrado
2013;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;23;Hombres;2;No;;Regular;493,2722;No;;;Pregrado
2011;1;VALLE DEL CAUCA;76;Cali;76001;-76,5263912;3,406382184;18,13;Hombres;4;No;;Regular;633,0082;No;;;Pregrado
2013;2;NARIÑO;52;CUMBAL;52227;-77,79124207;0,906450846;21,71;Mujeres;1;No;;Especial;302,1657;No;;;Pregrado
2019;1;RISARALDA;66;PEREIRA;66001;-75,71550992;4,808887732;16;Mujeres;3;No;;Regular;457,33;No;;;Pregrado
2016;1;ANTIOQUIA;5;MONTEBELLO;5467;-75,52375393;5,946563659;18,33;Mujeres;2;No;;Regular;377,1355;No;;;Pregrado
2019;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;18;Hombres;2;No;;Regular;604,8574;No;;;Pregrado
2014;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;16,55;Mujeres;2;No;;Regular;508,3285;No;;;Pregrado
2010;1;ANTIOQUIA;5;MEDELLÍN;5001;-75,57705563;6,24894081;22,75;Mujeres;2;No;;Regular;305,72;No;;;Pregrado
2013;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;21,72;Hombres;2;No;;Regular;538,5764;No;;;Pregrado
2016;1;BOYACÁ;15;CHIQUINQUIRÁ;15176;-73,81871071;5,614851057;17,58;Hombres;4;No;;Regular;477,1571;No;;;Pregrado
2014;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;18,38;Mujeres;4;No;;Regular;644,473;No;;;Pregrado
2009;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;19,17;Hombres;2;No;;Regular;427,72;No;;;Pregrado
2019;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;91263;-74,11391872;4,62457505;18;Mujeres;2;No;;Regular;615,5128;No;;;Pregrado
2019;2;NARIÑO;52;CUMBAL;52227;-77,79124207;0,906450846;18;Hombres;1;No;;Especial;346,644;No;;;Pregrado
2021;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;19;Hombres;2;No;;Regular;558,3186;No;;;Pregrado
2020;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;18;Mujeres;2;No;;Regular;528,7596;No;;;Pregrado
2020;1;ANTIOQUIA;5;BELLO;5088;-75,55444758;6,333785562;20;Hombres;2;No;;Regular;618,8476;Sí;Medellín;Ciencias sociales y humanas;Pregrado
2014;1;RISARALDA;66;PEREIRA;66001;-75,71550992;4,808887732;16,87;Mujeres;4;No;;Regular;551,6693;No;;;Pregrado
2017;2;ANTIOQUIA;5;RIONEGRO;5615;-75,37625576;6,14622006;17,76;Hombres;3;No;;Regular;589,17;Sí;Medellín;Ingeniería, arquitectura, urbanismo y afines;Pregrado
2019;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;15;Mujeres;1;No;;Regular;470,523;No;;;Pregrado
2014;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,09;Mujeres;1;No;;Regular;440,0995;No;;;Pregrado
2020;1;CALDAS;17;MANIZALES;17001;-75,49041506;5,057050564;17;Hombres;3;No;;Regular;568,5341;No;;;Pregrado
2011;1;BOGOTÁ, D. C.;11;Bogotá D.C.;11001;-74,11391872;4,62457505;23,08;Mujeres;2;No;;Regular;459,947;No;;;Pregrado
2011;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,29;Mujeres;3;No;;Regular;411,8363;No;;;Pregrado
2017;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,18;Mujeres;3;No;;Regular;449,0805;No;;;Pregrado
2009;1;ANTIOQUIA;5;MEDELLÍN;5001;-75,57705563;6,24894081;16,97;Hombres;3;No;;Regular;;No;;;Pregrado
2010;2;CALDAS;17;CHINCHINÁ;17174;-75,60638497;4,985518005;17,51;Hombres;3;No;;Regular;558,0766;Sí;Manizales;Ingeniería, arquitectura, urbanismo y afines;Pregrado
2009;1;CUNDINAMARCA;25;TABIO;25785;-74,09847546;4,916417347;22,33;Hombres;2;No;;Regular;570,32;No;;;Pregrado
2011;2;VALLE DEL CAUCA;76;CALI;76001;-76,5263912;3,406382184;17,48;Hombres;1;No;;Regular;402,1562;No;;;Pregrado
2014;2;ANTIOQUIA;5;MEDELLÍN;5001;-75,57705563;6,24894081;20,03;Hombres;3;No;;Regular;525,1028;No;;;Pregrado
2011;1;VAUPÉS;97;Mitú;97001;-70,23496026;1,251170789;19,71;Hombres;2;No;;Especial;620,7232;Sí;Orinoquía;Matemáticas y ciencias naturales;Pregrado
2010;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;16,64;Hombres;2;No;;Regular;371,63;No;;;Pregrado
2016;1;CUNDINAMARCA;25;FUSAGASUGÁ;25290;-74,36636797;4,337748142;17,08;Hombres;3;No;;Regular;396,5383;No;;;Pregrado
2013;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;26;Hombres;3;No;;Regular;3,45;Sí;Bogotá;Ingeniería, arquitectura, urbanismo y afines;Especialización
2021;1;SUCRE;70;SINCELEJO;70001;-75,38521942;9,300157626;16;Mujeres;2;No;;Regular;503,2502;No;;;Pregrado
2009;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;4,62457505;4,62457505;28;Hombres;4;No;;Regular;3,94;Sí;Bogotá;Bellas artes;Especialización
2009;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;19,53;Mujeres;2;No;;Regular;681,63;Sí;Bogotá;Ingeniería, arquitectura, urbanismo y afines;Pregrado
2017;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;16,88;Mujeres;3;No;;Regular;485,4234;No;;;Pregrado
